省份编码,省份,年份,每十万人口幼儿园平均在校生数(人),每十万人口小学平均在校生数(人),每十万人口初中阶段平均在校生数(人),每十万人口高中阶段平均在校生数(人),每十万人口高等学校平均在校生数(人)
450000,广西壮族自治区,2009,2342.54568106312,9069.28363787375,4288.77906976744,3081.08596345515,1435.85340531561
450000,广西壮族自治区,2008,2247.3091442953,9329.02474832215,4445.0985738255,3038.59270134228,1351.53733221477
450000,广西壮族自治区,2007,,,,,
450000,广西壮族自治区,2006,,,,,
450000,广西壮族自治区,2005,,,,,
450000,广西壮族自治区,2004,,,,,
450000,广西壮族自治区,2003,,,,,
450000,广西壮族自治区,2002,,,,,
450000,广西壮族自治区,2001,,,,,
450000,广西壮族自治区,2000,,,,,
